,2004-12-10 17:15:00+00:00,2004-12-15 17:00:00+00:00
p63676,0.1,
p70300,610.0,
p70301,E 603 ,
p70303,0.83,
p71846,E 0.027 ,
p71851,25.6,
p71856,< 0.026 ,
p71870,0.35,
p71999,15.0,15.0
p72004,45,25
p72019,112.78,
p73547,,< 0.7 b
p73570,,< 0.18 
p75985,2.6,
p76002,44.0,
p77041,,< 0.038 b
p77093,,< 0.024 b
p77103,,< 0.4 b
p77128,,< 0.042 b
p77135,,< 0.038 b
p77168,,< 0.026 b
p77170,,< 0.05 b
p77173,,< 0.06 b
p77220,,< 0.060 b
p77221,,< 0.060 b
p77222,,< 0.056 b
p77223,,< 0.038 b
p77224,,< 0.042 b
p77226,,< 0.044 b
p77275,,< 0.040 b
p77277,,< 0.050 b
p77297,,< 0.12 
p77342,,< 0.12 
p77350,,< 0.060 b
p77353,,< 0.060 b
p77356,,< 0.08 b
p77424,,< 0.50 mc
p77443,,< 0.180 
p77562,,< 0.030 b
p77613,,< 0.18 b
p77651,,< 0.036 b
p77652,,< 0.038 b
p78032,,< 0.10 
p78109,,< 0.50 mc
p78133,,< 0.37 b
p81552,,< 6.0 
p81555,,< 0.028 b
p81576,,< 0.1 b
p81577,,< 0.10 
p81593,,< 0.40 
p81595,,< 2.0 
p81597,,< 0.20 
p81607,,< 1.0 
p82081,-13.41,
p82082,-104.0,
p82085,-13.69,
p82303,2380.0,
p82346,< 0.004 ,
p82398,4045,4045
p82625,,< 0.510 
p82630,< 0.006 ,
p82660,< 0.0060 ,
p82661,< 0.009 ,
p82662,< 0.0061 mc,
p82664,< 0.011 ,
p82667,< 0.015 ,
p82670,< 0.016 ,
p82673,< 0.010 ,
p82675,< 0.017 ,
p82676,< 0.0040 ,
p82680,< 0.041 mc,
p82682,< 0.0030 ,
p82683,< 0.022 ,
p82686,< 0.050 mc,
p82687,< 0.006 ,
p84164,4041,4041
p85795,,< 0.06 b
p90095,929.0,
p90867,,< 0.3 
p99111,40,1
p99832,,109.0
p99833,,99.2
p99834,,92.4
p99871,,0.0
p99972,925.0,
p99994,62.2,
p99995,90.7,
